pid,Name,Race,Team,rating,ELO Peak,href
FZJ,Fu Zi Jia,T,XpecIM,2070 pts,-,/tlpd/sc2-international/players/2965_FZJ
Stalife,Sung Min Park,T,coL.,2069 pts,2207 pts,/tlpd/sc2-international/players/1346_Stalife
wzp,Omar Paredes,Z,(Unknown/Retired),2068 pts,2098 pts,/tlpd/sc2-international/players/2703_wzp
TriMaster,Joshua Niven,T,coL.,2068 pts,2084 pts,/tlpd/sc2-international/players/2392_TriMaster
Sirius,Choi Jin Sol,Z,fOu,2068 pts,-,/tlpd/sc2-international/players/1965_Sirius
Luffy,Ye Hao,Z,(Unknown/Retired),2064 pts,2138 pts,/tlpd/sc2-international/players/2009_Luffy
mOoNan,Peter Kim,T,FXO,2064 pts,2266 pts,/tlpd/sc2-international/players/2050_mOoNan
UkraineStar,Igor Kobylyansky,Z,NTO,2064 pts,2109 pts,/tlpd/sc2-international/players/3001_UkraineStar
Jaden,,P,(Unknown/Retired),2064 pts,-,/tlpd/sc2-international/players/1801_Jaden
Farmer,Daniel Ciesla,P,SFTO,2064 pts,-,/tlpd/sc2-international/players/2263_Farmer
Titan,Tristan Johnson,Z,vVv,2063 pts,2079 pts,/tlpd/sc2-international/players/2667_Titan
Edge,Josh Yang,T,iS,2063 pts,-,/tlpd/sc2-international/players/3293_Edge
TopClass,Jung Bang Min,T,fOu,2063 pts,-,/tlpd/sc2-international/players/2184_TopClass
Cytoplasm,Jonas Larsson,Z,(Unknown/Retired),2062 pts,2106 pts,/tlpd/sc2-international/players/2374_Cytoplasm
State,Ryan Visbeck,P,vile,2062 pts,-,/tlpd/sc2-international/players/2273_State
iaguz,Ethan Zugai,T,aLt,2061 pts,2153 pts,/tlpd/sc2-international/players/2941_iaguz
iDrone,Kevin Foster,Z,(Unknown/Retired),2061 pts,-,/tlpd/sc2-international/players/3154_iDrone
AlexCMoi,Alexandre Michaud,T,DREAM,2059 pts,2153 pts,/tlpd/sc2-international/players/1998_AlexCMoi
Arcanne,Eric Ma,P,x6.,2059 pts,2078 pts,/tlpd/sc2-international/players/1929_Arcanne
sLivko,Artem Garavtsov,Z,iP.,2059 pts,2080 pts,/tlpd/sc2-international/players/2579_sLivko
SoftBall,Zhan Zhenyu,T,TtApollo,2058 pts,2083 pts,/tlpd/sc2-international/players/2010_SoftBall
Snute,Jens Waller,Z,(Unknown/Retired),2057 pts,2069 pts,/tlpd/sc2-international/players/2834_Snute
LoveTT,Yin Liu,P,(Unknown/Retired),2056 pts,-,/tlpd/sc2-international/players/1204_LoveTT
LiveZerg,Andrey Guldiashov,Z,RoX.,2054 pts,2054 pts,/tlpd/sc2-international/players/1806_LiveZerg
Delphi,Lukas Hilgers,Z,aTn.,2054 pts,2163 pts,/tlpd/sc2-international/players/1577_Delphi
wbc,Won Tae Lee,P,GoSu,2054 pts,2083 pts,/tlpd/sc2-international/players/2956_wbc
Warden,Sung Woo Choi,T,4k,2053 pts,-,/tlpd/sc2-international/players/2828_Warden
BBoongBBoong,Choi Jong Hyuk,Z,Prime,2053 pts,2138 pts,/tlpd/sc2-international/players/2308_BBoongBBoong
RapDawg,Dmitry Buyankin,Z,(Unknown/Retired),2053 pts,-,/tlpd/sc2-international/players/3178_RapDawg
Knutzi,Kristian Knudsen,P,(Unknown/Retired),2052 pts,2060 pts,/tlpd/sc2-international/players/1912_Knutzi
Deezer,Manuel Germain,P,(Unknown/Retired),2052 pts,2099 pts,/tlpd/sc2-international/players/3177_Deezer
Inkarnate,Ryan Ormsby,T,(Unknown/Retired),2052 pts,-,/tlpd/sc2-international/players/2817_Inkarnate
Suppy,Conan Liu,Z,VP,2051 pts,-,/tlpd/sc2-international/players/2593_Suppy
Abver,Alexei Drunin,Z,Virus.,2051 pts,2137 pts,/tlpd/sc2-international/players/1707_Abver
Tyler,Tyler Wasieleski,P,Liquid`,2050 pts,2154 pts,/tlpd/sc2-international/players/678_Tyler
HayprO,Hayder Hussein,Z,Liquid`,2050 pts,2174 pts,/tlpd/sc2-international/players/1132_HayprO
Skinky,,Z,(Unknown/Retired),2049 pts,2110 pts,/tlpd/sc2-international/players/2988_Skinky
Maka,Kwak Han Eul,T,Prime,2049 pts,2128 pts,/tlpd/sc2-international/players/1842_Maka
HappyZerG,Svyatoslav Vlasyuk,Z,NaVi,2048 pts,2097 pts,/tlpd/sc2-international/players/1581_HappyZerG
Muse,Ian Ang,T,inFi,2047 pts,2082 pts,/tlpd/sc2-international/players/2858_Muse
Azz,Aaron Kilpatrick,P,VT,2047 pts,2140 pts,/tlpd/sc2-international/players/2349_Azz
h4u.SKy,Sascha Klenk,P,(Unknown/Retired),2047 pts,-,/tlpd/sc2-international/players/1741_h4u.SKy
StrifeCro,Cong Shu,Z,EG.,2047 pts,2103 pts,/tlpd/sc2-international/players/2075_StrifeCro
Hawk,Devan Subramaniam,Z,vile,2046 pts,-,/tlpd/sc2-international/players/3094_Hawk
ActionJesuz,Lars Krøjmand,Z,(Unknown/Retired),2046 pts,2085 pts,/tlpd/sc2-international/players/2120_ActionJesuz
Taurent,Maxime Bolduc,P,iS,2044 pts,2091 pts,/tlpd/sc2-international/players/1932_Taurent
Mystik,Kenny Vu,Z,x6.,2043 pts,-,/tlpd/sc2-international/players/3247_Mystik
EVOMind,,T,(Unknown/Retired),2043 pts,-,/tlpd/sc2-international/players/3127_EVOMind
Miou,Daniel Holthuis,T,Faculty,2043 pts,2068 pts,/tlpd/sc2-international/players/1690_Miou
CommItment,Hui Shen,Z,Nv,2043 pts,2082 pts,/tlpd/sc2-international/players/2758_CommItment
MaFia,Tim He,Z,nGen,2042 pts,2059 pts,/tlpd/sc2-international/players/3341_MaFia
Malice,Greg Risselada,Z,NrG.,2042 pts,-,/tlpd/sc2-international/players/3184_Malice
XlorD,Daniel Spenst,Z,MYM,2041 pts,2056 pts,/tlpd/sc2-international/players/1605_XlorD
Rekatan,Joshua Marston,Z,(Unknown/Retired),2041 pts,-,/tlpd/sc2-international/players/3144_Rekatan
LuckyFool,Rob Griesemer,T,NrG.,2040 pts,2122 pts,/tlpd/sc2-international/players/2258_LuckyFool
kAra,Thomas Ciolak,P,ESC.,2039 pts,2039 pts,/tlpd/sc2-international/players/1684_kAra
RelaX,Dmitri Dudakov,P,fOsc.,2039 pts,-,/tlpd/sc2-international/players/2377_RelaX
TLO,Dario Wünsch,T,Liquid`,2038 pts,2256 pts,/tlpd/sc2-international/players/1593_TLO
Slayer,Omar Lopez De Castilla,R,tQ.,2038 pts,-,/tlpd/sc2-international/players/2359_Slayer
Yekke,,Z,(Unknown/Retired),2037 pts,-,/tlpd/sc2-international/players/3191_Yekke
Garnath,Michael Kostyukhin,T,NTO,2037 pts,-,/tlpd/sc2-international/players/3028_Garnath
Aristeo,Anton Vasilyev,Z,Empire,2036 pts,2082 pts,/tlpd/sc2-international/players/1571_Aristeo
