p1,p2,result,date
N. Mahut,D. Kindlmann,Win,11-02-01
R. Jouan,V. Millot,Win,11-02-01
R. Jouan,V. Millot,Win,11-02-01
D. Zagidullin,K. Kravchuk,Loss,11-02-01
D. Zagidullin,K. Kravchuk,Loss,11-02-01
J. Pospisil,I. Kunitsyn,Loss,11-02-01
J. Pospisil,I. Kunitsyn,Loss,11-02-01
E. Rousset,B. Knittel,Loss,11-02-01
E. Rousset,B. Knittel,Loss,11-02-01
R. Bemelmans,L. Vanni,Win,11-02-01
R. Bemelmans,L. Vanni,Win,11-02-01
R. Bemelmans,L. Vanni,Loss,11-02-01
F. Fognini,L. Kubot,Win,11-02-01
F. Fognini,L. Kubot,Win,11-02-01
R. Hocevar,H. Zeballos,Loss,11-02-01
R. Hocevar,H. Zeballos,Loss,11-02-01
M. Gonzalez,J. Monaco,Win,11-02-01
M. Gonzalez,J. Monaco,Win,11-02-01
M. Gonzalez,J. Monaco,Loss,11-02-01
M. Vierin,O. Rochus,Loss,11-02-01
M. Vierin,O. Rochus,Loss,11-02-01
D. Brands,I. Karlovic,Win,11-02-01
D. Brands,I. Karlovic,Win,11-02-01
D. Brands,I. Karlovic,Loss,11-02-01
R. Machado,F. Rios,Win,11-02-01
R. Machado,F. Rios,Win,11-02-01
F. Bagnis,S. Giraldo,Win,11-02-01
F. Bagnis,S. Giraldo,Loss,11-02-01
F. Bagnis,S. Giraldo,Loss,11-02-01
D. Nalbandian,C. Berlocq,Win,11-02-01
D. Nalbandian,C. Berlocq,Win,11-02-01
D. Nalbandian,C. Berlocq,Loss,11-02-01
J. Souza,P. Cuevas,Win,11-02-01
J. Souza,P. Cuevas,Win,11-02-01
J. Ward,J. Hernych,Win,11-02-01
J. Ward,J. Hernych,Win,11-02-01
J. Ward,J. Hernych,Loss,11-02-01
E. Chvojka,B. Mitchell,Win,11-02-01
E. Chvojka,B. Mitchell,Loss,11-02-01
E. Chvojka,B. Mitchell,Loss,11-02-01
J. Lemke,P. Lorenzi,Loss,11-02-01
J. Lemke,P. Lorenzi,Loss,11-02-01
Y. Sugita,C. Guccione,Loss,11-02-01
Y. Sugita,C. Guccione,Loss,11-02-01
P. Bester,F. Cipolla,Loss,11-02-01
P. Bester,F. Cipolla,Loss,11-02-01
C. Zampieri,N. Massu,Win,11-02-01
C. Zampieri,N. Massu,Win,11-02-01
P. Polansky,T. Ito,Loss,11-02-01
P. Polansky,T. Ito,Loss,11-02-01
B. Tomic,M. Ebden,Win,11-02-01
B. Tomic,M. Ebden,Win,11-02-01
P. Cervenak,J. Lindner,Win,11-02-01
P. Cervenak,J. Lindner,Win,11-02-01
P. Cervenak,J. Lindner,Loss,11-02-01
R. Schuettler,A. Domijan,Win,11-03-01
R. Schuettler,A. Domijan,Win,11-03-01
D. Brown,P. Simmonds,Win,11-03-01
D. Brown,P. Simmonds,Win,11-03-01
G. Lapentti,J. Silva,Win,11-03-01
G. Lapentti,J. Silva,Win,11-03-01
G. Lapentti,J. Silva,Loss,11-03-01
I. Klec,B. Phau,Loss,11-03-01
I. Klec,B. Phau,Loss,11-03-01
B. Dabul,R. Camilo,Win,11-03-01
B. Dabul,R. Camilo,Win,11-03-01
B. Dabul,R. Camilo,Loss,11-03-01
A. Rezai,A. Kudryavtseva,Loss,11-03-01
A. Rezai,A. Kudryavtseva,Loss,11-03-01
T. Tanasugarn,B. Jovanovski,Loss,11-03-01
T. Tanasugarn,B. Jovanovski,Loss,11-03-01
S. Sun,J. Groth,Loss,11-03-01
S. Sun,J. Groth,Loss,11-03-01
K. Nara,E. Bovina,Win,11-03-01
K. Nara,E. Bovina,Win,11-03-01
A. Kleybanova,J. Lu,Win,11-03-01
A. Kleybanova,J. Lu,Win,11-03-01
T. Malek,M. Krajicek,Loss,11-03-01
T. Malek,M. Krajicek,Loss,11-03-01
T. Luzhanska,M. Doi,Loss,11-03-01
T. Luzhanska,M. Doi,Loss,11-03-01
A. Kremer,K. Date Krumm,Win,11-03-01
A. Kremer,K. Date Krumm,Win,11-03-01
A. Kremer,K. Date Krumm,Loss,11-03-01
N. Bratchikova,E. Ivanova,Win,11-03-01
N. Bratchikova,E. Ivanova,Loss,11-03-01
N. Bratchikova,E. Ivanova,Loss,11-03-01
N. Desein,R. Bautista-Agut,Loss,11-03-01
N. Desein,R. Bautista-Agut,Loss,11-03-01
M. Camerin,M. Bartoli,Loss,11-03-01
M. Camerin,M. Bartoli,Loss,11-03-01
J. Ouanna,I. Minar,Loss,11-03-01
J. Ouanna,I. Minar,Loss,11-03-01
V. Millot,M. Gicquel,Loss,11-03-01
X. Han,D. Safina,Loss,11-03-01
X. Han,D. Safina,Loss,11-03-01
M. Teixeira,K. De Schepper,Win,11-03-01
M. Teixeira,K. De Schepper,Loss,11-03-01
M. Teixeira,K. De Schepper,Loss,11-03-01
M. Middelkoop,N. Mahut,Win,11-03-01
M. Middelkoop,N. Mahut,Loss,11-03-01
M. Middelkoop,N. Mahut,Loss,11-03-01
J. Campozano,M. Demoliner,Win,11-03-01
J. Campozano,M. Demoliner,Win,11-03-01
D. Junqueira,M. Sborowitz,Win,11-03-01
D. Junqueira,M. Sborowitz,Win,11-03-01
G. Ouellette,L. Cook,Win,11-03-01
G. Ouellette,L. Cook,Loss,11-03-01
G. Ouellette,L. Cook,Loss,11-03-01
L. Sorensen,R. Dutra Da Silva,Win,11-03-01
L. Sorensen,R. Dutra Da Silva,Loss,11-03-01
L. Sorensen,R. Dutra Da Silva,Loss,11-03-01
D. Schwartzman,F. Del Bonis,Loss,11-03-01
D. Schwartzman,F. Del Bonis,Loss,11-03-01
E. Prodon,J. Brzezicki,Loss,11-03-01
E. Prodon,J. Brzezicki,Loss,11-03-01
I. Van der Merwe,D. Kudla,Win,11-03-01
I. Van der Merwe,D. Kudla,Loss,11-03-01
I. Van der Merwe,D. Kudla,Loss,11-03-01
F. Skugor,S. Decoud,Win,11-03-01
F. Skugor,S. Decoud,Win,11-03-01
K. Pervak,J. Goerges,Win,11-03-01
K. Pervak,J. Goerges,Win,11-03-01
R. Oprandi,B. Zahlavova Strycova,Win,11-03-01
R. Oprandi,B. Zahlavova Strycova,Loss,11-03-01
R. Oprandi,B. Zahlavova Strycova,Loss,11-03-01
A. Hlavackova,S. Bammer,Win,11-03-01
A. Hlavackova,S. Bammer,Loss,11-03-01
A. Hlavackova,S. Bammer,Loss,11-03-01
B. Paire,R. Jouan,Win,11-03-01
B. Paire,R. Jouan,Win,11-03-01
B. Paire,R. Jouan,Loss,11-03-01
M. Ilhan,G. Jones,Win,11-03-01
M. Ilhan,G. Jones,Loss,11-03-01
M. Ilhan,G. Jones,Loss,11-03-01
S. Robert,J. Mertl,Win,11-03-01
S. Robert,J. Mertl,Win,11-03-01
A. Wozniak,X. Hermoso,Win,11-03-01
A. Wozniak,X. Hermoso,Win,11-03-01
L. Hradecka,Z. Ondraskova,Win,11-03-01
L. Hradecka,Z. Ondraskova,Win,11-03-01
L. Pous Tio,A. Sevastova,Loss,11-03-01
L. Pous Tio,A. Sevastova,Loss,11-03-01
C. Zampieri,M. Vassallo Arguello,Win,11-03-01
C. Zampieri,M. Vassallo Arguello,Win,11-03-01
V. King,M. Oudin,Loss,11-03-01
V. King,M. Oudin,Loss,11-03-01
O. Govortsova,R. Voracova,Win,11-03-01
O. Govortsova,R. Voracova,Win,11-03-01
S. Travaglia,A. Altamirano,Win,11-03-01
S. Travaglia,A. Altamirano,Win,11-03-01
S. Errani,J. Larsson,Win,11-03-01
S. Errani,J. Larsson,Win,11-03-01
R. Ram,B. Reynolds,Loss,11-03-01
R. Ram,B. Reynolds,Loss,11-03-01
A. Kuznetsov,M. McClune,Win,11-03-01
A. Kuznetsov,M. McClune,Win,11-03-01
J. Acasuso,R. Hocevar,Win,11-03-01
J. Acasuso,R. Hocevar,Win,11-03-01
R. Kendrick,R. Harrison,Win,11-03-01
R. Kendrick,R. Harrison,Loss,11-03-01
R. Kendrick,R. Harrison,Loss,11-03-01
E. Daniilidou,A. Pavlyuchenkova,Win,11-03-01
E. Daniilidou,A. Pavlyuchenkova,Loss,11-03-01
E. Daniilidou,A. Pavlyuchenkova,Loss,11-03-01
R. Nadal,T. Berdych,Win,11-04-01
R. Nadal,T. Berdych,Win,11-04-01
R. Nadal,T. Berdych,Loss,11-04-01
V. Zvonareva,V. Azarenka,Loss,11-04-01
V. Zvonareva,V. Azarenka,Loss,11-04-01
L. Rochette,B. Paire,Win,11-04-01
L. Rochette,B. Paire,Loss,11-04-01
L. Rochette,B. Paire,Loss,11-04-01
L. Rosol,S. Vagnozzi,Win,11-04-01
L. Rosol,S. Vagnozzi,Win,11-04-01
M. Gonzalez,A. Gensse,Win,11-04-01
M. Gonzalez,A. Gensse,Win,11-04-01
M. Gonzalez,A. Gensse,Loss,11-04-01
A. Haider-Maurer,T. Schoorel,Win,11-04-01
A. Haider-Maurer,T. Schoorel,Win,11-04-01
J. Janowicz,M. Przysiezny,Win,11-04-01
J. Janowicz,M. Przysiezny,Loss,11-04-01
J. Janowicz,M. Przysiezny,Loss,11-04-01
F. Volandri,J. Pospisil,Win,11-04-01
F. Volandri,J. Pospisil,Win,11-04-01
F. Volandri,J. Pospisil,Loss,11-04-01
A. Bedene,A. Di Mauro,Win,11-04-01
A. Bedene,A. Di Mauro,Win,11-04-01
A. Bedene,A. Di Mauro,Loss,11-04-01
M. Teixeira,D. Guez,Win,11-04-01
M. Teixeira,D. Guez,Win,11-04-01
M. Teixeira,D. Guez,Loss,11-04-01
M. Fish,N. Djokovic,Loss,11-04-01
M. Fish,N. Djokovic,Loss,11-04-01
F. Bagnis,P. Lorenzi,Win,11-04-01
F. Bagnis,P. Lorenzi,Win,11-04-01
F. Bagnis,P. Lorenzi,Loss,11-04-01
M. Vassallo Arguello,F. Cipolla,Win,11-04-01
M. Vassallo Arguello,F. Cipolla,Loss,11-04-01
M. Vassallo Arguello,F. Cipolla,Loss,11-04-01
D. Junqueira,R. Dutra Da Silva,Win,11-04-01
D. Junqueira,R. Dutra Da Silva,Win,11-04-01
E. Schwank,H. Zeballos,Win,11-04-01
E. Schwank,H. Zeballos,Loss,11-04-01
E. Schwank,H. Zeballos,Loss,11-04-01
R. Nadal,R. Federer,Win,11-04-01
R. Nadal,R. Federer,Win,11-04-01
B. Reynolds,V. Pospisil,Win,11-05-01
B. Reynolds,V. Pospisil,Win,11-05-01
B. Reynolds,V. Pospisil,Loss,11-05-01
K. Date Krumm,D. Hantuchova,Loss,11-05-01
K. Date Krumm,D. Hantuchova,Loss,11-05-01
F. Pennetta,A. Parra Santonja,Loss,11-05-01
F. Pennetta,A. Parra Santonja,Loss,11-05-01
S. Peng,F. Schiavone,Loss,11-05-01
S. Peng,F. Schiavone,Loss,11-05-01
M. Sharapova,A. Rus,Win,11-05-01
M. Sharapova,A. Rus,Win,11-05-01
M. Sharapova,A. Rus,Loss,11-05-01
J. Goerges,K. Kanepi,Win,11-05-01
J. Goerges,K. Kanepi,Win,11-05-01
J. Goerges,K. Kanepi,Loss,11-05-01
C. Wozniacki,A. Morita,Win,11-05-01
C. Wozniacki,A. Morita,Win,11-05-01
S. Arvidsson,A. Rezai,Win,11-05-01
S. Arvidsson,A. Rezai,Win,11-05-01
S. Arvidsson,A. Rezai,Loss,11-05-01
S. Robert,A. Kellner,Win,11-05-01
S. Robert,A. Kellner,Win,11-05-01
M. Bartoli,S. Halep,Win,11-05-01
M. Bartoli,S. Halep,Win,11-05-01
S. Wawrinka,G. Garcia-Lopez,Win,11-05-01
S. Wawrinka,G. Garcia-Lopez,Loss,11-05-01
S. Wawrinka,G. Garcia-Lopez,Loss,11-05-01
F. Mayer,N. Davydenko,Win,11-05-01
F. Mayer,N. Davydenko,Loss,11-05-01
F. Mayer,N. Davydenko,Loss,11-05-01
S. Mirza,E. Vesnina,Loss,11-05-01
S. Mirza,E. Vesnina,Loss,11-05-01
A. Ivanovic,B. Mattek-Sands,Win,11-05-01
A. Ivanovic,B. Mattek-Sands,Loss,11-05-01
A. Ivanovic,B. Mattek-Sands,Loss,11-05-01
K. Zakopalova,S. Errani,Loss,11-05-01
K. Zakopalova,S. Errani,Loss,11-05-01
J. Del Potro,F. Verdasco,Win,11-05-01
J. Del Potro,F. Verdasco,Win,11-05-01
N. Djokovic,F. Lopez,Win,11-05-01
N. Djokovic,F. Lopez,Win,11-05-01
E. Makarova,Y. Wickmayer,Win,11-05-01
E. Makarova,Y. Wickmayer,Win,11-05-01
G. Arn,B. Jovanovski,Win,11-05-01
G. Arn,B. Jovanovski,Loss,11-05-01
G. Arn,B. Jovanovski,Loss,11-05-01
A. Dolgopolov,S. Giraldo,Loss,11-05-01
A. Dolgopolov,S. Giraldo,Loss,11-05-01
M. Niculescu,C. Scheepers,Win,11-05-01
M. Niculescu,C. Scheepers,Loss,11-05-01
M. Niculescu,C. Scheepers,Loss,11-05-01
N. Almagro,J. Tsonga,Loss,11-05-01
N. Almagro,J. Tsonga,Loss,11-05-01
N. Petrova,V. King,Loss,11-05-01
N. Petrova,V. King,Loss,11-05-01
J. Blake,A. Bogomolov Jr,Win,11-05-01
J. Blake,A. Bogomolov Jr,Win,11-05-01
A. Begemann,B. Reynolds,Loss,11-05-01
A. Begemann,B. Reynolds,Loss,11-05-01
J. Monaco,A. Golubev,Win,11-05-01
J. Monaco,A. Golubev,Win,11-05-01
J. Monaco,A. Golubev,Loss,11-05-01
L. Pous Tio,J. Jankovic,Loss,11-05-01
L. Pous Tio,J. Jankovic,Loss,11-05-01
Y. Schukin,F. Volandri,Win,11-06-01
Y. Schukin,F. Volandri,Win,11-06-01
L. Rosol,R. Stepanek,Loss,11-06-01
L. Rosol,R. Stepanek,Loss,11-06-01
A. Seppi,I. Navarro,Win,11-06-01
A. Seppi,I. Navarro,Win,11-06-01
A. Seppi,I. Navarro,Loss,11-06-01
B. Dabul,B. Puc,Loss,11-06-01
B. Dabul,B. Puc,Loss,11-06-01
G. Trujillo-Soler,A. Gensse,Win,11-06-01
G. Trujillo-Soler,A. Gensse,Win,11-06-01
A. Ungur,M. Viola,Win,11-06-01
A. Ungur,M. Viola,Win,11-06-01
F. Cipolla,G. Olasco,Win,11-06-01
F. Cipolla,G. Olasco,Win,11-06-01
A. Beck,G. Muller,Win,11-06-01
A. Beck,G. Muller,Loss,11-06-01
A. Beck,G. Muller,Loss,11-06-01
I. Van der Merwe,T. Ito,Loss,11-06-01
I. Van der Merwe,T. Ito,Loss,11-06-01
N. Ciric,P. Luczak,Win,11-06-01
N. Ciric,P. Luczak,Win,11-06-01
J. Souza,V. Estrella,Win,11-06-01
J. Souza,V. Estrella,Loss,11-06-01
J. Souza,V. Estrella,Loss,11-06-01
J. Sousa,U. Ignatik,Win,11-06-01
J. Sousa,U. Ignatik,Win,11-06-01
J. Sousa,U. Ignatik,Loss,11-06-01
R. Bemelmans,J. Milton,Win,11-06-01
R. Bemelmans,J. Milton,Win,11-06-01
A. Bogomolov Jr,G. Soeda,Win,11-06-01
A. Bogomolov Jr,G. Soeda,Win,11-06-01
A. Bogomolov Jr,G. Soeda,Loss,11-06-01
A. Ramos,E. Korolev,Loss,11-06-01
A. Ramos,E. Korolev,Loss,11-06-01
A. Kudryavtsev,A. Kuznetsov,Loss,11-06-01
J. Zopp,A. Kellner,Win,11-06-01
T. Smyczek,J. Ward,Win,11-06-01
T. Smyczek,J. Ward,Loss,11-06-01
T. Smyczek,J. Ward,Loss,11-06-01
A. Di Mauro,G. Zemlja,Loss,11-06-01
D. Cox,R. De Voest,Loss,11-06-01
D. Cox,R. De Voest,Loss,11-06-01
T. Kamke,A. Flock,Win,11-06-01
T. Kamke,A. Flock,Win,11-06-01
D. Marcan,R. Machado,Loss,11-06-01
D. Marcan,R. Machado,Loss,11-06-01
J. Pospisil,D. Munoz-De La Nava,Loss,11-06-01
J. Pospisil,D. Munoz-De La Nava,Loss,11-06-01
K. Krawietz,J. Janowicz,Loss,11-06-01
K. Krawietz,J. Janowicz,Loss,11-06-01
N. Li,V. Azarenka,Win,11-06-01
N. Li,V. Azarenka,Win,11-06-01
M. Sharapova,A. Petkovic,Win,11-06-01
M. Sharapova,A. Petkovic,Win,11-06-01
B. Kavcic,F. Dancevic,Win,11-06-01
B. Kavcic,F. Dancevic,Win,11-06-01
A. Mannarino,S. Bohli,Loss,11-06-01
A. Mannarino,S. Bohli,Loss,11-06-01
Y. Sugita,M. Bachinger,Loss,11-06-01
Y. Sugita,M. Bachinger,Loss,11-06-01
D. Tursunov,E. Roger-Vasselin,Win,11-06-01
D. Tursunov,E. Roger-Vasselin,Win,11-06-01
M. Ebden,L. Lacko,Win,11-06-01
M. Ebden,L. Lacko,Win,11-06-01
M. Ebden,L. Lacko,Loss,11-06-01
C. Niland,D. Young,Win,11-06-01
C. Niland,D. Young,Win,11-06-01
M. Youzhny,J. Hajek,Win,11-06-01
M. Youzhny,J. Hajek,Win,11-06-01
A. Murray,J. Chela,Win,11-06-01
A. Murray,J. Chela,Win,11-06-01
A. Murray,J. Chela,Win,11-06-01
R. Nadal,R. Söderling,Win,11-06-01
R. Nadal,R. Söderling,Win,11-06-01
R. Nadal,R. Söderling,Win,11-06-01
V.King/Y.Shvedova,A.Hlavackova/L.Hradecka,Loss,11-06-01
V.King/Y.Shvedova,A.Hlavackova/L.Hradecka,Loss,11-06-01
S.Mirza/E.Vesnina,L.Huber/L.Raymond,Win,11-06-01
S.Mirza/E.Vesnina,L.Huber/L.Raymond,Win,11-06-01
S.Mirza/E.Vesnina,L.Huber/L.Raymond,Loss,11-06-01
F. Bagnis,A. Veic,Win,11-06-01
F. Bagnis,A. Veic,Loss,11-06-01
F. Bagnis,A. Veic,Loss,11-06-01
P. Capdeville,J. Blake,Win,11-07-01
P. Capdeville,J. Blake,Loss,11-07-01
P. Capdeville,J. Blake,Loss,11-07-01
S. Robert,H. Zeballos,Win,11-07-01
S. Robert,H. Zeballos,Win,11-07-01
S. Robert,H. Zeballos,Loss,11-07-01
F. Gil,E. Donskoy,Loss,11-07-01
F. Gil,E. Donskoy,Loss,11-07-01
J. Pospisil,J. Hajek,Loss,11-07-01
J. Pospisil,J. Hajek,Loss,11-07-01
S.Mirza/E.Vesnina,K.Peschke/K.Srebotnik,Loss,11-07-01
S.Mirza/E.Vesnina,K.Peschke/K.Srebotnik,Loss,11-07-01
B.Bryan/M.Bryan,M.Llodra/N.Zimonjic,Win,11-07-01
B.Bryan/M.Bryan,M.Llodra/N.Zimonjic,Win,11-07-01
B.Bryan/M.Bryan,M.Llodra/N.Zimonjic,Win,11-07-01
B.Bryan/M.Bryan,M.Llodra/N.Zimonjic,Loss,11-07-01
B.Bryan/M.Bryan,M.Llodra/N.Zimonjic,Loss,11-07-01
J. Tsonga,N. Djokovic,Win,11-07-01
J. Tsonga,N. Djokovic,Loss,11-07-01
J. Tsonga,N. Djokovic,Loss,11-07-01
J. Tsonga,N. Djokovic,Loss,11-07-01
R. Ramirez Hidalgo,M. Klizan,Win,11-07-01
R. Ramirez Hidalgo,M. Klizan,Win,11-07-01
D. Junqueira,C. Berlocq,Loss,11-07-01
D. Junqueira,C. Berlocq,Loss,11-07-01
A. Ramos,D. Munoz-De La Nava,Win,11-07-01
A. Ramos,D. Munoz-De La Nava,Win,11-07-01
T. Schoorel,L. Rosol,Win,11-07-01
T. Schoorel,L. Rosol,Loss,11-07-01
T. Schoorel,L. Rosol,Loss,11-07-01
R. Nadal,A. Murray,Win,11-07-01
R. Nadal,A. Murray,Win,11-07-01
R. Nadal,A. Murray,Win,11-07-01
R. Nadal,A. Murray,Loss,11-07-01
A. Giannessi,J. Silva,Win,11-07-01
A. Giannessi,J. Silva,Win,11-07-01
B. Reynolds,D. Young,Win,11-07-01
B. Reynolds,D. Young,Win,11-07-01
S.Lisicki/S.Stosur,M.Erakovic/T.Tanasugarn,Win,11-07-01
S.Lisicki/S.Stosur,M.Erakovic/T.Tanasugarn,Win,11-07-01
S.Lisicki/S.Stosur,M.Erakovic/T.Tanasugarn,Loss,11-07-01
R. De Voest,J. Blake,Win,11-07-01
R. De Voest,J. Blake,Loss,11-07-01
R. De Voest,J. Blake,Loss,11-07-01
J. Ward,J. Hernych,Win,11-02-02
J. Ward,J. Hernych,Win,11-02-02
J. Ward,J. Hernych,Loss,11-02-02
E. Chvojka,B. Mitchell,Win,11-02-02
E. Chvojka,B. Mitchell,Loss,11-02-02
E. Chvojka,B. Mitchell,Loss,11-02-02
J. Lemke,P. Lorenzi,Loss,11-02-02
J. Lemke,P. Lorenzi,Loss,11-02-02
Y. Sugita,C. Guccione,Loss,11-02-02
Y. Sugita,C. Guccione,Loss,11-02-02
P. Bester,F. Cipolla,Loss,11-02-02
P. Bester,F. Cipolla,Loss,11-02-02
C. Zampieri,N. Massu,Win,11-02-02
C. Zampieri,N. Massu,Win,11-02-02
P. Polansky,T. Ito,Loss,11-02-02
P. Polansky,T. Ito,Loss,11-02-02
B. Tomic,M. Ebden,Win,11-02-02
B. Tomic,M. Ebden,Win,11-02-02
P. Cervenak,J. Lindner,Win,11-02-02
P. Cervenak,J. Lindner,Win,11-02-02
P. Cervenak,J. Lindner,Loss,11-02-02
J. Huta Galung,J. Tipsarevic,Win,11-02-02
J. Huta Galung,J. Tipsarevic,Win,11-02-02
J. Huta Galung,J. Tipsarevic,Loss,11-02-02
E. Roger-Vasselin,D. Sela,Win,11-02-02
E. Roger-Vasselin,D. Sela,Loss,11-02-02
E. Roger-Vasselin,D. Sela,Loss,11-02-02
I. Sijsling,F. Wolmarans,Win,11-02-02
I. Sijsling,F. Wolmarans,Loss,11-02-02
I. Sijsling,F. Wolmarans,Loss,11-02-02
G. Soeda,R. Schuettler,Win,11-02-02
G. Soeda,R. Schuettler,Win,11-02-02
G. Soeda,R. Schuettler,Loss,11-02-02
I. Belyaev,A. Lobkov,Win,11-02-02
I. Belyaev,A. Lobkov,Win,11-02-02
A. Weintraub,U. Ignatik,Loss,11-02-02
A. Weintraub,U. Ignatik,Loss,11-02-02
V. Uzakov,E. Donskoy,Loss,11-02-02
V. Uzakov,E. Donskoy,Loss,11-02-02
I. Marchenko,D. Lajovic,Win,11-02-02
I. Marchenko,D. Lajovic,Win,11-02-02
R. Stepanek,F. Mayer,Loss,11-02-02
R. Stepanek,F. Mayer,Loss,11-02-02
B. Dabul,K. Beck,Loss,11-02-02
B. Dabul,K. Beck,Loss,11-02-02
S. Rieschick,N. Renavand,Win,11-02-02
S. Rieschick,N. Renavand,Win,11-02-02
M. Klizan,A. Sadecky,Win,11-02-02
M. Klizan,A. Sadecky,Win,11-02-02
S. Stadler,A. Bury,Win,11-02-02
S. Stadler,A. Bury,Win,11-02-02
M. Mecir,A. Beck,Loss,11-02-02
M. Mecir,A. Beck,Loss,11-02-02
F. Lopez,F. Dancevic,Win,11-02-02
F. Lopez,F. Dancevic,Loss,11-02-02
F. Lopez,F. Dancevic,Loss,11-02-02
J. Janowicz,B. Knittel,Win,11-02-02
